"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"53",138.69679,159.91549,167.691785,195.818915,203.679769,207.537138,225.752258,233.197654,236.6206995,242.9669005,255.0938765,306.60782,330.846078,342.081878,367.181724,377.776038,440.487308,470.657987,474.438444,504.721264,514.033744,522.940229,530.035364,567.8860595,650.4189925,654.2790995,666.7605335,669.3133395,727.220923,735.493477,773.94434
"54",149.249017,164.05716,173.232558,208.05779,213.636755,216.372006,223.896019,228.846705,233.7109725,238.8122735,255.1071245,302.7459505,328.9900905,346.6943855,356.051425,368.568907,433.276088,466.748776,467.605853,507.280838,523.857938,530.831073,541.476623,584.707918,653.358558,654.390388,662.536205,665.083033,717.841718,732.30252,756.978898
"55",143.728135,171.178345,182.132245,216.704465,235.36412,241.10682,248.7676,251.564312,254.9051315,260.74977,278.241647,324.275795,337.543815,355.62238,365.936245,381.86071,438.988724,465.809807,475.008031,516.776876,527.980267,530.3571205,536.4962725,570.0727787,652.4794387,654.3868465,666.9945082,669.1839132,727.9906682,741.8559532,768.4381372
"56",140.354734,159.9646,172.09985,212.01173,221.920145,223.92505,229.038321,231.431083,234.7310353,246.2841655,261.6401205,317.0865535,334.020735,349.073165,363.237572,379.831955,446.657515,472.366669,475.329055,513.761271,522.732382,527.351502,531.536819,567.349576,655.9039,658.470146,666.771142,668.388051,708.818231,722.881043,741.769154
"57",102.44789,132.52409,159.53769,186.711745,193.799263,199.333175,215.847252,233.17689,242.10191,254.514355,269.615305,310.600679,321.496819,336.940994,352.57361,377.44704,431.573943,459.887665,461.058003,502.935223,510.598295,520.521395,538.651819,566.086515,643.96821,647.5987,659.535555,665.676085,722.28002,741.36109,763.084631
"58",118.171786,135.354566,164.910965,196.139592,206.172645,211.368025,219.129263,229.221915,243.365375,258.0293,267.250905,302.8943495,323.6321645,331.0473595,344.9920725,359.5251155,428.4724295,458.8242595,461.9568775,507.1115545,514.7455545,523.3361055,539.1291345,575.9346145,662.4129595,668.0383995,681.6857895,683.8066705,748.1937245,764.8649845,789.2455745
"59",115.586213,120.069775,148.853405,186.47048,199.52465,203.743595,214.033355,227.164435,235.50554,248.99506,267.036625,304.570655,318.21501,332.742545,346.83,362.749657,421.301412,452.8812545,456.3369275,512.4348385,515.4200725,522.3386325,531.1563935,571.5904175,650.95568,654.96412,664.433396,666.634182,708.33927,720.597058,747.79795
"60",67.0217815,71.9769715,96.2075815,131.7401075,160.6312365,169.3891065,189.6563265,206.7473265,213.5847865,230.9636065,251.3505265,302.3118715,326.4317715,334.6599715,344.4800495,361.2576115,429.8091065,462.4127845,466.8612865,502.2100385,507.4427595,518.9971815,535.6686975,572.1345215,638.527896,641.390048,651.423632,654.644688,700.086633,721.168348,762.755147
"61",96.558707,105.788769,116.009445,133.427109,173.416995,182.975425,189.740387,191.316735,200.507057,228.966647,235.880891,288.053777,322.732662,338.016522,365.399501,382.585437,440.038554,467.0151836,470.3892765,511.3364085,515.9127275,524.4864295,542.1889795,572.6668945,639.8844595,641.7742555,654.5587475,659.2656575,693.18552,705.567511,744.0245839
"62",150.936939,158.490169,168.54784,186.619252,204.288585,217.653835,227.509805,233.228981,246.10217,274.66649,286.075521,313.18772,335.81458,356.4583316,369.7864796,383.3200816,438.7698646,471.4681766,476.2289846,521.2290621,523.0366511,527.2992021,533.6755731,572.7424781,655.5767881,658.4943541,664.9200781,670.5817241,714.9980531,730.8594791,783.8323021
