"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"72",-4.54483299999999,1.1571985,87.9725905,93.4093235,108.6772375,119.0966875,124.2799645,134.7319455,157.2550525,161.604439,174.385404,253.5477145,259.5904795,269.9649235,307.708599,327.251365,374.0620515,444.2904829,519.361658,596.4090925,617.583402
"73",-3.07826199999999,1.948302,92.107814,95.778952,104.266136,115.3764595,122.3787925,130.6885535,160.034237,161.7363955,181.0223365,260.587319,264.951639,276.808263,320.035479,343.23844,375.3521425,453.3443025,536.1209995,589.4867925,627.013869
"74",-4.3343585,0.71789200000001,94.6769603,99.1984143,112.1590673,120.2885793,122.7544033,127.8751363,160.3112153,164.3378453,174.2474993,248.3833493,255.4225903,266.1958083,307.9198663,333.0915816,375.6634103,453.2928193,533.8695773,608.0242788,640.7557988
"75",-6.644035,-0.162451999999993,111.772501,114.0524585,121.0529875,130.3012075,134.9076085,139.4057435,156.0276245,160.2837015,179.6874625,269.2657625,274.2496465,282.2675815,311.3769225,339.7613525,398.6640605,453.9861915,532.584313,607.0484805,655.6526265
"76",-5.2930755,0.0291545000000051,87.0458365,94.3481675,104.7843455,115.2406915,118.3733725,125.9437035,162.1104875,167.2180865,177.5328265,272.8577095,279.1488425,284.9392605,308.3341203,331.707111,375.568684,443.6723615,521.3784725,597.095195,633.238308
"77",-3.74444549999999,1.43643350000001,85.466015,94.013669,104.333815,115.978052,118.4162382,127.701495,159.144892,162.109708,177.363851,276.624698,279.766468,283.593875,309.3733585,331.2519275,365.227239,444.926001,517.082454,585.0614627,615.0484336
"78",-5.663085,0.494203799999998,99.3433705,108.8794795,119.7123575,133.590127,134.735164,142.372675,161.812644,164.997154,180.746435,277.60203,283.991628075,288.346957075,315.424666075,334.561741765,372.649729725,444.943348225,522.842235725,590.472701725,620.177454725
"79",-5.285147,0.358479000000003,102.355726,108.2841315,122.9822845,133.590104,136.4687408,139.496344,165.438736,169.3027104,176.000967,272.204603,279.589737,286.365242,308.449933,324.854243,366.088473,435.352413,510.976737,603.224587,626.6930525
"80",-5.944751,1.706295,103.626236,111.376425,121.511521,131.212826,134.683431,138.900371,163.725078,173.004028,178.498803,271.2036915,279.0876655,283.4776915,317.777515,350.922827,391.0326075,448.956378,545.0927105,632.569315,651.6438735
"81",-3.724395,5.65071299999999,96.240628,106.2539685,114.3701155,130.183121,136.4097854,143.6448115,171.518827,182.410885,187.920862,277.505657,284.375576,287.5968595,310.177694,334.070222,379.598159,457.358713,532.8961615,609.38709,650.281074
"82",-4.2851345,3.8395335,98.3367755,103.798833,115.170581,128.094542,133.784837,140.770904,165.276045,175.571702,183.22866,269.9832735,273.7060505,279.8762725,309.4755935,335.5584985,374.393398,454.6090185,526.4742265,616.2412185,667.2438585
"83",-4.06333349999999,0.633512499999996,101.646973,106.329169,113.340561,124.998273,129.2189678,134.4001235,158.0062215,160.5940735,178.2963765,285.117749,287.6511885,291.0330165,312.1521285,345.3603755,393.61876,461.07694,515.603036,589.4654685,631.7455625
